27.12,4607,16.96,48.16,9.43,25.46,70.06,5.03,1.54,11.6,0.41,11.36,1150,43.56,13.13,15.5,2.88,0.91,0.4,1.26,0.83,7.7,13.83
20.76,5248,15.84,48.67,5.81,29.69,73.47,5.16,1.36,12.96,0.14,6.9,1160,32.23,7.19,7.07,14.13,3.76,15.44,0.94,1.2,4.38,13.66
8.35,6067,4.31,33.55,18.33,43.8,71,4.62,1.65,2.96,0.61,19.16,1330,67.88,11.37,3.7,1.15,0.72,0.44,1.22,0.8,1.08,11.64
10.93,6067,4.94,33.56,16.3,45.2,69.37,4.69,1.56,6.42,0.81,17.15,1460,61.75,20.27,5.13,0.75,0.9,0.29,1.69,0.82,0.63,7.77
24.21,4979,12.83,46.41,9.57,31.19,69.5,5.07,0.97,12.62,0.86,10.98,1150,39.9,14.41,10.29,5.63,2.55,2.35,1.34,0.82,8.6,14.11
25.78,4666,16.82,46.47,8.86,27.85,69.95,5.03,1.36,12.4,0.61,10.65,1160,52.42,12.63,11.16,2.27,1.08,0.46,1.09,1.24,3.1,14.55
8.96,5783,3.74,32.6,20.91,42.75,67.46,4.71,2.13,3.37,0.61,21.72,1500,57.47,21.25,2.77,0.62,0.6,0.27,1.38,1.19,1.1,13.35
21.45,5118,15.4,48.64,6.31,29.65,72.61,5.23,1.23,13.44,0.04,7.46,1110,37.58,8.69,7.21,8.73,2.6,7.3,1.01,1.7,8.44,16.74
31.65,4386,20.29,51.23,3.01,25.46,73.82,5.26,1.14,15.88,0.13,3.78,1230,18.35,10.13,20.09,15.75,12.36,0.12,0.41,1.92,9.42,11.45
20.01,5195,14.84,48.19,8.21,28.76,69.5,4.92,1.08,14.82,0.04,9.64,1170,30.26,9.38,9.51,22.26,4.72,9.27,0.77,0.82,8.05,4.96
24.23,4805,17.48,48.03,9.59,24.89,67.22,4.8,1.3,14.34,0.71,11.62,1160,50.09,16.73,10.97,3.48,1.82,1.34,1.52,1.24,3.28,9.53
10.43,5849,5.5,31.88,17.59,45.03,68.71,4.19,1.38,6.71,0.4,18.61,1460,74.05,13.17,2.62,0.16,0.21,0.09,0.67,0.82,0.83,7.38
20.78,5156,14.37,49.52,7.09,28.01,76.93,4.34,1.16,9.22,0.07,8.28,1090,36.44,11.15,19.42,7.93,2.82,3.42,0.87,0.82,7.15,9.98
11.65,6320,5.34,31.58,11.29,51.79,76.69,4.38,1.09,5.66,0.25,11.93,1380,53.62,22.37,2.8,1.63,0.99,1.32,0.6,1.23,2.75,12.69
24.57,4713,17.87,45.12,8027,28.75,66.18,4.71,1.47,16.8,0.77,10.07,1250,32.1,14.54,21.01,7.65,3.23,0.54,0.99,0.81,8.6,10.53
9.29,6072,3.87,33.68,19.36,43.09,67.97,4.47,1.41,5.08,0.17,20.14,1470,66.8,15.97,3.29,0.91,0.63,0.27,0.64,0.82,4.83,5.84
7.6,6113,2.62,28.8,18.88,49.7,69.83,4.12,1.48,4.7,0.49,19.39,1330,51.58,21.22,4.22,3.11,0.51,0.18,0.72,1.23,3.83,13.4
9.08,6040,3.34,33.97,16.13,46.56,71.16,4.43,1.6,5.66,0.46,16.69,1400,67.65,16.42,3.48,0.82,0.56,0.29,1.32,0.81,0.75,7.9
19.94,5232,15.48,48.3,5.24,30.98,70.6,5.08,1.15,16.74,0.23,6.2,1110,39.22,9.25,6.96,13.02,1.35,2.98,1.04,1.2,5.83,19.15
24.03,5178,17.48,42.08,3.7,36.74,73.42,5.01,0.88,15.99,0.22,4.48,1180,37.81,9.39,4.11,12.02,3.01,13.72,0.36,0.82,10.58,8.18
22,5221,17.63,47.37,4.7,30.3,70.1,4.98,1.18,17.85,0.18,5.71,1100,37.7,8.19,7.83,15.29,3.17,3.41,1.01,0.83,4.25,18.32
11.26,5861,5.4,35.93,16.07,42.6,67.5,4.52,1.73,8.6,0.66,16.99,1450,55.59,15.88,5.57,0.1,0.51,0.28,1.41,0.8,0.48,19.38
18.72,5330,11.94,32.85,11.41,43.79,71.63,4.25,1.98,8.55,0.64,12.96,1270,55.55,13.56,7.7,1,0.67,0.28,1.04,1.22,0.28,18.7
19.9,5355,16.23,47.49,5.98,30.31,69.06,4.93,1.23,17.53,0.11,7.14,1150,33.04,6.83,9.9,18.88,3.74,2.87,0.74,0.82,6.45,16.73
11.06,6039,6.25,35.88,16.13,41.75,69.52,4.6,1,6.86,0.82,17.21,1330,50.74,14.46,5.75,0.21,0.63,0.34,1.19,1.21,0.9,24.57
10.56,6302,7.72,38.49,8.88,44.91,72.41,4.89,1.55,10.69,0.84,9.62,1230,55.68,14.86,8.17,0.94,1.12,0.69,1.63,1.27,1.35,14.29
20.67,5252,18.88,46.9,4.44,31.77,68.58,4.78,1.2,19.9,0.2,5.34,1080,34.27,13.25,8.27,11.66,3.38,2.87,1.19,1.23,6.6,17.28
11.97,6418,9.77,40.15,5.33,44.75,73.31,4.9,1.73,13.44,0.71,5.91,1170,47.62,16.55,9.23,2.17,1.82,2.58,2.01,1.23,3.75,13.04
10.8,6049,4.62,31.85,17.88,45.64,68.94,4.2,1.51,6.37,0.25,18.75,1510,63.86,12.55,1.66,0.06,0.07,0.03,0.29,0.8,3.45,17.23
8.72,6151,3.48,28.15,19.14,49.24,70.49,3.91,1.57,3.98,0.22,19.83,1220,50.12,17.39,14.52,2.5,1.06,0.31,2.28,0.8,3.4,7.62
17.19,5632,14.71,45.59,4.81,34.88,70.83,5,1.57,16.75,0.21,5.64,1090,30.69,12.5,10.11,11.97,3.95,6.53,0.72,1.18,7.9,14.45
21.86,5247,17.09,46.1,6.87,29.94,69.99,5.09,1.54,14.7,0.39,8.29,1180,55.35,16.2,10.29,4.31,3.37,1.41,1.54,0.81,6.25,0.47
20.76,5456,19.17,46.45,4.06,30.32,70.2,4.86,2.25,17.49,0.18,5.02,1130,44.39,11.77,11.6,15.67,4.24,3.67,1.24,0.81,3.95,2.66
10.35,6135,5.59,36.19,16.78,41.44,68.4,4.7,1.8,6.61,0.72,17.77,1440,59.04,17.21,8.41,0.48,0.89,0.66,1.36,1.22,0.95,9.78
20.26,5300,17.93,49.48,6.49,26.1,67.7,4.86,1.12,18.28,0.13,7.91,1110,36.12,18.76,14.32,14.15,3.17,3.69,1.34,1.23,6.2,1.02
21.47,5089,17.06,46.77,7.41,28.76,68.1,4.88,1.39,15.93,0.77,8.93,1180,42.3,19.1,14.58,5.45,1.65,1.29,1.62,1.23,5.86,6.92
23.06,5318,18.9,43.03,4.7,33.37,70.96,4.86,0.9,17.28,0.21,5.8,1190,43.6,13.76,6.05,11.74,1.89,9.03,0.63,1.22,10.24,1.84
18.54,5666,13.24,37.21,9.3,40.25,63.68,4.47,1.96,18.69,0.48,10.72,1170,51.12,26.47,11.79,3.16,1.47,0.97,0.93,0.83,1.15,2.11
13.33,6272,9.44,41.59,6.29,42.68,72.97,4.9,1.38,13.11,0.7,6.95,1200,48.21,24.95,11.95,3.41,1.49,1.53,2.07,0.81,2.83,2.75
10.53,6353,3.55,28.13,15.48,52.84,74.48,4.2,1.61,3.25,0.41,16.05,1270,52.37,27.3,11.92,1.66,0.88,0.35,1.45,1.37,1.43,1.27
10.62,6309,5.84,39.29,9.24,45.63,74.59,5.1,1.68,8.08,0.73,9.81,1300,46.43,29.3,8.91,1.11,1.25,0.85,2.4,1.22,1.18,7.35
10.7,6119,4.34,33.07,15.88,46.7,69.67,4.54,1.77,6.79,0.63,16.6,1480,47.39,33.37,6.74,0.6,0.98,0.5,1.41,0.81,1.05,7.15
19.83,5305,16.29,44.32,7.82,31.57,67.5,4.9,1.27,16.88,0.11,9.34,1160,43.57,20.26,9.12,10.59,3.54,4.56,1.68,0.82,4.65,1.21
10.5,6087,5.79,29.91,16.06,48.25,71.56,3.91,1.51,5.58,0.39,17.05,1350,53.01,22.62,10.41,2.05,1.33,0.37,1.79,0.81,1.7,5.91
17.9,5560,16.68,46.47,6.09,30.76,69.25,4.92,1.58,16.65,0.29,7.31,1110,36.78,16.2,11.58,11.18,4.53,5.77,1.2,0.83,11.25,0.68
19.35,5472,16.1,47.21,4.26,32.43,71.44,5.01,1.29,16.96,0.22,5.05,1200,44.97,18.19,9.79,10.12,3.52,2.44,1.83,0.82,5.35,2.97
20.49,5323,14.42,41.32,5.98,38.28,70.43,4.93,1.6,15.42,0.64,6.99,1200,34.64,17.6,9.41,8.49,3.41,0.44,1.28,1.64,9.9,13.19
24.11,4913,16.2,40.24,11.79,31.77,64.7,4.74,1.32,14.49,0.68,14.07,1230,43.95,23.98,16.48,1.92,1.83,0.65,2.09,0.81,3,5.29
24.02,5168,18.72,43.21,4.67,33.4,70.4,4.96,1.33,17.31,0.26,5.75,1130,38.6,15.14,14.2,8.93,2.95,3.97,1.12,0.81,6.95,7.33
23.4,4995,16.98,45.82,7.36,29.84,71.46,5.18,1.49,11.95,1.06,8.87,1140,39.2,15.7,14.78,5.13,3.09,0.88,1.28,1.24,4.55,14.15
17.86,5745,10.68,34.87,9.53,44.92,76.24,4.89,2.28,5.41,0.52,10.67,1220,56.16,19.43,6.06,2.63,1.16,0.95,1.02,0.8,0.45,11.34
27.39,4683,19.38,42.86,7.09,30.66,72.36,5.14,1,12.28,0.43,8.79,1160,41.02,11.35,4.05,18.99,3.43,1.03,0.48,1.21,0.63,17.81
20.46,5098,16.43,47.46,8.58,27.53,67.75,4.89,1,15.95,0.15,10.27,1150,49.2,10.42,5.04,5.31,2.57,6.4,1.21,0.81,4.28,14.76
33.83,4380,20.93,49.91,3.75,25.4,69.89,4.99,0.99,19.29,0.09,4.74,1130,33.85,7.63,14.29,8.29,7.41,0.47,0.63,1.29,8,18.14
8.34,5978,5.81,38.53,12.84,42.82,69.06,4.48,0.93,11.7,0.2,13.63,1220,57.99,13.59,2.85,8.23,1.29,0.66,0.95,0.82,3.5,10.12
21.47,5313,18.51,43.41,5.37,32.72,69.1,5,1.23,17.91,0.17,6.59,1140,34.26,17.72,14.11,11.3,3.24,3.64,1.07,0.82,9.38,4.46
11.84,5955,8.03,41.31,14.25,36.4,68.33,5.12,1.31,9.01,0.74,15.49,1340,48.59,32.19,6.67,0.47,0.74,0.33,0.38,0.81,1.33,8.49
17.99,5837,14.9,32.51,7.23,45.36,70.5,4.48,1.91,14.09,0.53,8.5,1180,43.48,27.12,12.74,3.32,1.65,1.36,0.65,1.6,1.53,6.55
9.92,61.26,5.91,38.32,12.67,43.1,69.63,4.36,1.36,10.58,0.34,13.47,1240,29.95,27.72,16.42,3.08,2.16,1.96,1.91,0.81,3.45,12.54
24.69,5318,21.58,45.44,4.14,28.83,69.97,4.8,0.85,18.71,0.39,5.28,1280,37.05,18.96,5.92,13.24,3.52,7.82,0.65,1.62,1.45,9.77
14.1,6000,8.78,41.53,10.45,39.25,68.5,4.76,0.97,13.82,0.5,11.46,1520,50.56,37.24,5.34,0.5,1.86,0.83,0.5,0.83,0.6,1.74
18.04,5336,8.44,30.67,12.54,48.35,67.88,3.77,1.6,12.61,0.45,13.7,1250,57.57,22.5,11.09,1.92,1.66,0.47,1.43,0.83,1.35,1.18
35.14,4306,15.49,45.1,4.16,35.25,69.8,4.95,0.95,19.2,0.18,4.92,1170,42.49,18.15,11.89,5.94,3.39,2.1,0.9,0.83,7.6,6.71
21.2,5204,5.52,46.4,6.82,41.26,67.2,4.79,1.08,19.54,0.17,7.22,1110,40.76,17.39,10.47,10.85,3.66,4.58,1.43,0.83,4,6.03
10.34,6034,3.5,38.25,13.76,44.49,70.8,4.77,1.6,8.38,0.2,14.26,1290,47.49,27.87,9.82,2.81,2.07,0.4,1.18,1.64,4.03,2.69
29.54,4605,5.54,49.9,3.78,40.78,68.6,4.8,0.99,21.5,0.11,4,1230,36.92,12.12,18.13,16.12,6.78,0.13,0.74,0.98,5.5,2.58
8.82,5960,1.83,31.24,19.96,46.97,63.7,4.21,1.98,8.59,1.19,20.33,1520,41.03,30.36,5.7,3.89,0.65,5.52,0.76,0.79,0.93,10.37
11.16,5593,2.92,30.33,20.8,45.95,64.4,4.25,1.55,7.8,0.57,21.43,1500,55.19,22.28,6.75,0.61,0.88,0.61,1.19,1.61,0.6,10.28
7.91,6113,2.52,29.89,15.97,51.62,68.3,4.25,1.84,8.71,0.52,16.38,1440,70.1,18.2,5.9,1.44,0.61,0.12,0.7,1.02,1.04,0.87
25.96,4909,7.04,46.47,6.77,39.72,69,4.84,1.36,16.98,0.54,7.28,1130,28.57,19.49,16.99,7.11,3.12,1.36,1.29,1.65,8.9,11.52
7.44,6184,1.75,28.31,17.77,52.17,69.7,4.25,1.69,5.45,0.82,18.09,1350,55.46,21.41,6.64,0.89,0.74,0.68,0.67,0.82,1.28,11.41
22.17,5172,9.52,45.54,6.34,38.6,69.9,4.99,1.12,16.95,0.03,7.01,1090,47.58,11,7.79,10.41,2.27,8.71,1.19,0.81,4.73,5.51
24.45,5237,8.25,43.53,5.19,43.03,71.8,5.08,1.71,15.07,0.69,5.66,1260,45.32,21.01,11.44,1.46,1.45,3.79,1.96,1.63,1.95,9.99
24.21,5111,8.39,45.22,5.02,41.37,71.6,4.96,1.64,15.5,0.82,5.48,1100,43.56,10.88,13.08,6.86,2.61,4.45,1.27,0.97,12.75,3.57
26.93,4668,7.17,46.14,9.68,37.01,65.4,4.67,1.33,17.32,0.86,10.43,1180,54.77,15.66,13.29,3.32,2.24,1.32,1.29,1.6,5.73,0.78
15.14,5847,4.66,42.98,11.34,41.02,70.9,5.35,1.21,10.14,0.51,11.89,1500,55.61,23.75,3.75,0.19,1.81,2.48,0.49,0.81,0.68,10.43
25.06,5219,10.55,43.27,4.84,41.34,72.2,4.81,1.06,16.36,0.16,5.41,1120,48.84,9.2,5.64,9.66,1.98,4.66,0.46,1.1,11.9,6.56
20.34,5360,8.64,48.25,5.08,38.02,70.7,4.92,1.13,17.67,0.02,5.56,1135,55.04,9.98,7.76,9.09,5.12,2.04,0.84,1.62,5.85,2.66
26.58,5169,7.5,44.53,4.31,43.65,71.3,4.81,0.96,18.02,0.25,4.66,1175,43.86,9.61,4.03,10.02,1.44,8.96,0.53,0.98,11.18,9.39
13.53,5863,4.76,41.11,12.58,41.55,69.8,5.21,1.53,9.54,0.71,13.21,1350,58.01,27.08,6.44,0.13,0.68,1.32,0.54,0.97,1.15,3.68
9.25,6016,2.72,30.11,18.72,48.45,67.6,4.25,1.94,6.38,0.59,19.24,1450,68.61,12.7,3.75,0.7,0.49,0.38,0.71,0.82,0.58,11.26
9.58,5805,3.47,38.79,16,41.74,65.2,4.74,1.01,12.17,0.31,16.58,1400,59.08,18.51,9.62,1.32,0.86,1.2,1.12,1.6,0.7,5.99
22.35,5088,8.29,46.93,6.5,38.28,69.5,4.86,1.15,17.35,0.05,7.09,1160,52.65,11.73,7.56,9.95,2.38,2.13,0.92,0.98,5.03,6.77
40.21,4009,8.58,52.87,3.4,35.14,70.3,4.98,1,19.85,0.15,3.72,1170,44.93,15.13,13.12,6.61,3.17,0.89,0.97,1.6,6.83,6.75
21.49,5251,10.63,42.95,5.87,40.54,70,4.9,1.2,17.28,0.05,6.57,1110,46.49,13,6.93,10.21,2.31,8.91,1.11,1.64,6.63,2.77
9.94,5766,3.32,28.65,19.83,48.2,68.5,4.19,1.62,4.6,0.58,20.51,1445,66.94,18.64,4.44,0.75,0.61,1.57,1.59,0.98,0.48,4
22.52,5183,11.42,45.8,5.9,36.89,69,4.87,1.11,18.21,0.15,6.66,1105,47.17,12.37,8.3,7.66,2.59,1.88,1.05,0.81,7.68,10.49
23.6,5180,14.66,42.77,4.84,37.74,71.5,4.97,1.53,15.37,0.96,5.67,1090,35.15,9.35,14.73,12.81,3.81,2.04,0.76,0.98,8.8,11.57
22.3,5319,10.91,43.66,5.45,39.98,69.1,4.75,1.52,17.95,0.57,6.12,1140,35.49,9.67,11.97,11.78,3.66,8.55,0.64,0.81,5.73,11.7
17.2,6103,9.08,43.06,5.19,42.67,74.2,5.21,1.44,12.52,0.92,5.71,1295,47.15,13.12,11.37,8.24,2.72,5.55,1.11,1.62,4.05,5.07
23.05,5438,11.26,45.25,3.42,40.08,71.6,4.92,1.5,17.9,0.22,3.85,1080,45.53,14.31,10.04,3.9,1.66,1.85,2.62,0.97,17.73,1.39
21.77,5026,8.56,46,9.48,35.96,65.7,4.61,1.01,18.3,0.01,10.37,1150,55.35,10.38,6.22,4.88,2.2,7.37,0.92,1.61,8.73,2.34
28.41,4568,12.4,44.61,8.76,34.23,66.1,4.63,1.32,17.14,0.81,10,1150,48.02,16.03,13.22,5.89,2.38,3.54,1.1,0.83,5.5,3.49
11.14,6050,2.47,30.61,16.95,49.97,71.7,4.49,1.58,4.34,0.51,17.38,1520,78.81,13.22,1.51,0.16,0.26,3.84,0.61,0.98,0.03,0.58
9.28,5801,2.9,29.61,19.92,47.57,65.7,4.13,1.65,7.49,0.52,20.51,1460,69.01,15.65,3.91,0.65,0.68,4.47,1.1,0.96,1.2,2.37
24.71,5044,10.24,48.95,5.04,35.77,69.2,4.79,1.17,19.14,0.08,5.61,1100,39,13.64,0.94,9.48,3.89,20.6,1.05,1.6,7.68,2.12
24.97,5274,9.95,43.86,3.88,42.32,71.8,4.81,0.88,17.96,0.24,4.31,1190,37.72,12.33,4.22,11.9,2.59,14.29,0.7,0.82,11.1,4.33
8.07,6203,2.08,31.69,17.95,48.28,69,4.41,1.51,6.28,0.47,18.33,1500,62.38,20.92,2.46,1.38,0.74,2.78,2.5,0.96,1.45,4.43
23.96,5161,7.4,46.28,10.4,35.92,68,5.09,1.08,14.14,0.46,11.23,1400,53.14,21.66,7.82,3.49,1.35,2.48,0.5,1.64,4.23,3.69
7.78,6266,3.42,32.65,14.85,49.07,71.7,4.67,2.23,5.64,0.38,15.38,1520,66.39,18.46,2.57,0.33,0.73,1.26,2.66,0.82,0.3,6.48
26.74,5041,13.85,38.06,4.66,43.43,72.4,4.78,0.96,16.34,0.11,5.41,1170,36.43,9.56,4.74,17.09,3.73,3.14,0.37,0.99,9.95,14
9.09,6068,3.02,29.98,17.52,49.49,69,4.26,1.86,6.28,0.53,18.07,1435,71.51,15.83,2.89,0.52,0.57,3.14,1.14,0.98,0.23,3.19
31.5,4520,13.61,48.51,2.98,34.9,70.4,4.91,1.02,20.2,0.02,3.45,1265,37.46,5.13,17.68,15.55,7.2,2.74,0.46,0.83,9.45,3.5
8.2,6231,2.56,28.58,14.11,54.75,71.4,3.96,1.89,8.14,0.13,14.48,1420,44.34,24.48,1.16,2.85,1.41,0.36,0.39,1.6,5.93,17.48
8.63,5958,2.84,28.87,20.09,48.2,68.4,4.15,1.79,4.45,0.53,20.68,1450,68.84,17.12,4.09,0.73,0.65,2.95,1,0.99,0.7,2.93
23.48,5174,10.43,43.95,6.19,39.43,70.1,4.85,1.59,15.63,0.92,6.91,1145,42.26,24.76,15.49,2.21,1.16,2.19,1.7,1.62,8.2,0.41
13.49,5539,4.94,31.28,16.45,47.33,66.7,3.64,1.34,10.76,0.25,17.3,1345,52.45,15.13,9.57,5.63,2.33,6,1.34,0.81,1.5,5.24
34.16,4387,15.93,46.76,3.27,34.04,68.9,4.68,1.25,21.22,0.06,3.89,1170,55.94,16.67,10.35,2.27,0.8,2.37,0.71,0.81,7.68,2.4
28.43,4889,13.23,43.9,5.64,37.23,68.6,4.83,1.33,18.05,0.69,6.5,1340,58.64,18.58,7.79,3.57,1.24,1.06,0.58,0.99,2.83,4.72
11.84,6078,4.1,30.13,13.35,52.42,70.7,4.28,1.59,9.1,0.41,13.92,1225,59.89,10.07,13.83,4.75,1.75,2.1,0.65,0.96,4.8,1.2
28.91,4691,14.87,44.54,7.23,33.36,72.3,5.06,1.28,12.17,0.69,8.49,1170,54.07,17.06,11.74,4.07,1.83,2.34,1.12,1.61,3.8,2.36
21.26,5410,9.4,46.33,5.72,38.55,72.3,5.17,1.43,14.34,0.45,6.31,1100,44.69,10.81,9.7,10.13,2.69,12.23,0.89,0.97,5.8,2.09
11.31,6055,2.5,30.95,16.69,49.86,70.1,4.53,1.51,6.23,0.52,17.12,1520,77.69,12.16,0.45,0.13,0.15,3.8,0.33,0.99,0.3,4
24.12,5060,11.94,46.99,6.73,37.34,69.6,4.91,1.17,16.67,0.01,7.64,1140,37.17,12.64,5.35,9.18,2.38,9.38,1.02,0.96,19.1,2.82
9.2,6060,2.24,31.14,19.12,47.5,68.2,4.47,1.52,5.35,0.9,19.56,1480,77.57,12.81,2.51,0.62,0.62,2.08,0.6,0.8,0.43,1.96
9.89,5723,2.34,29.43,22.1,46.13,67.3,4.27,1.47,3.91,0.42,22.63,1410,74.89,13.62,2.59,1,0.54,2.35,0.85,0.82,1.18,2.16
22.68,5187,9.78,46.61,5.93,37.68,69.9,4.88,1.14,17.35,0.16,6.57,1140,56.16,11.83,5.76,6.87,2.11,7.44,0.98,1.64,6.1,1.11
39.52,4054,16.44,48.24,3.36,31.95,72.3,5.1,0.87,17.58,0.13,4.02,1160,44.77,13.23,20.19,3.1,2.3,1.14,0.4,1.64,12.15,1.08
22.94,5196,9.56,44.81,6.39,39.24,68.6,4.78,1.12,18.27,0.16,7.07,1150,63.53,10.82,5.6,2.44,1.71,6.16,0.89,0.95,5.23,2.67
